Model,Accuracy,Precision,Recall,F1 Score
Dummy Classifier,0.754739814441307,0.5696321875028986,0.754739814441307,0.6492497438251427
Logistic Regression,0.9963695038321904,0.9963751963167873,0.9963695038321904,0.9963548183450993
KNN,0.9935457845905608,0.9935530036244886,0.9935457845905608,0.9935199416095474
Decision Tree,0.990722065348931,0.9906321627593995,0.990722065348931,0.990483203589827
Random Forest,0.9959661153691004,0.9959487544650427,0.9959661153691004,0.9959341799056247
Gradient Boosting,0.9959661153691004,0.99596487322836,0.9959661153691004,0.9959546535708284
